name,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,WS10M,WS50M,T2M,mean_kt,std_kt,interannual_cv_pct,solar_wind_monthly_corr,hot_days_per_year,zone,lat,lon
Annaba,4.765907186858316,4.832539945242984,4.3567214236824094,5.465375770020533,19.287541409993153,0.8046592786608329,0.19981691449635236,2.1441238288774604,-0.8614810362397153,0.15,Tell/Coastal,36.9,7.7667
Algiers,4.853028473648186,5.179116728268309,4.957277207392198,5.872943189596167,19.23271731690623,0.8186001339533893,0.19691347680177798,2.3531809458167454,-0.7398367537877338,0.0,Tell/Coastal,36.7538,3.0588
Oran,5.044527241615333,5.447002203969884,4.08886379192334,5.488416153319644,18.775303216974674,0.8505801163561246,0.16995863478946463,1.9178523296476826,-0.7717719111823937,0.15,Tell/Coastal,35.6969,-0.6331
Batna,5.012806858316222,4.992734291581109,3.505586584531143,4.9569212867898695,13.848428473648188,0.8286870938880286,0.1701524285389526,1.863846891554994,-0.5020899878145184,0.0,High Plateau,35.5559,6.1742
Tiaret,5.024751047227927,5.154229363449692,3.967644079397673,5.556291581108829,16.802692676249144,0.8269063578658757,0.19128457559608683,2.1730192520071028,-0.8315339483353494,0.2,High Plateau,35.3711,1.317
Djelfa,5.41560501026694,5.605541683778235,4.646013689253936,6.42015742642026,15.845203285420945,0.875664243668644,0.14654378404110419,1.390321203736043,-0.45206855247345173,0.0,High Plateau,34.6667,3.25
Laghouat,5.6283430663928815,5.834538877481177,4.407530458590006,6.228833675564681,18.016978781656398,0.9026603832126293,0.12824943589449447,1.1304041135639444,-0.335700688341574,1.2,Saharan Atlas,33.8,2.8646
El Bayadh,5.583425708418892,5.781539507186858,4.648458590006844,6.412140999315538,15.983336071184121,0.8913701315618531,0.13609587451136887,1.468080628905553,-0.21194903462824785,0.0,Saharan Atlas,33.6803,1.0197
Ghardaia,5.789548268309377,6.001451375770021,4.305237508555783,6.184273785078713,20.793518138261465,0.9323103492965744,0.11100767296059551,0.8227548209698645,0.06392865710366538,15.85,Northern Sahara,32.4909,3.6738
Ouargla,5.862860643394935,5.6544628199863105,4.130124572210815,5.972974674880219,22.414539356605065,0.9524673099329787,0.09406809434974414,0.6122852277642745,0.7318542833726293,37.2,Northern Sahara,31.95,5.3167
Bechar,5.863200533880904,6.1676049691991786,4.000062970568104,5.628696783025325,21.490885694729638,0.9283614259712525,0.11041736953239333,1.1800674175033725,0.8022738872068093,18.8,Western Sahara,31.6167,-2.2167
Adrar,6.084467926078029,5.301180479123888,4.571678302532512,6.64178507871321,25.634266940451745,0.9533234093321857,0.09255733043562413,0.8761360787607636,0.567292825368817,87.25,Central Sahara,27.874,-0.2846
Tamanrasset,6.397897371663245,5.784324161533196,4.232110882956879,5.790769336071184,20.091556468172485,0.9366094009193852,0.09297902933118261,1.0531103559696264,0.3975878191609386,0.0,Deep South Sahara,22.785,5.5228
