site,method,MAE,RMSE,R2
Algiers,Persistence,0.12918098871781517,0.19309160791384342,-0.1096580835678087
Algiers,Climatology,0.14785583076402747,0.18407393377138587,-0.008432816978625413
Algiers,Seasonal-naive + AR(1),0.12929125637970917,0.16747122903343728,0.16527619662328186
Algiers,Gradient Boosting,0.12599963623977017,0.16438085811427533,0.19579851688754213
Ouargla,Persistence,0.051555155817990056,0.09862930572351655,-0.42133774226470067
Ouargla,Climatology,0.056525326629494964,0.08574199231166772,-0.07416866101753339
Ouargla,Seasonal-naive + AR(1),0.05319283096317985,0.08260452434943286,0.003004940953013513
Ouargla,Gradient Boosting,0.051787456205519146,0.08322332232996836,-0.011988167602354327
Algiers,LSTM,0.12521814966492897,0.16470929296488607,0.19258169879583142
